match_number,espn_match_id,fifa_match_id,fifa_id_ifes,seed_match_id,kickoff_utc,kickoff_local,date_et,kickoff_et,stage,espn_season_slug,home_nation_id,away_nation_id,fifa_home_team_id,fifa_away_team_id,fifa_home_tactics,fifa_away_tactics,stadium_id,fifa_stadium_id,espn_venue_name,venue_string,status,home_score,away_score,fifa_attendance,fifa_referee_id,fifa_referee_country,fifa_referee_name,espn_status_raw,espn_notes,stadium_capacity,roof_type,surface,local_date,local_hour,temperature_c,apparent_temp_c,humidity_pct,home_confederation,home_group,home_pot,home_fifa_rank,home_squad_valuation_m_eur,home_is_host,home_espn_team_id,home_fotmob_team_id,home_tm_team_id,home_all_names,away_confederation,away_group,away_pot,away_fifa_rank,away_squad_valuation_m_eur,away_is_host,away_espn_team_id,away_fotmob_team_id,away_tm_team_id,away_all_names,referee_referee_id,referee_confederation,referee_flag_iso,referee_nation_id,referee_fm_id,referee_slug,referee_fm_url,volume_moneyline,volume_other
26,760439,400021446,151616,9.0,2026-06-18 19:00:00+00:00,2026-06-18 13:00:00-06:00,2026-06-18,15:00,group_b,group-stage,SUI,BIH,43971,44037,4-3-3,4-4-2,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",finished,4,1,70026,392268,POR,João Pedro Silva Pinheiro,STATUS_FULL_TIME,,70240,fixed,grass,2026-06-18,12.0,21.4,21.3,60.0,UEFA,B,2.0,19.0,270.0,False,475,6717.0,3384.0,['Switzerland'],UEFA,B,3.0,55.0,130.0,False,452,10106.0,3446.0,"['Bosnia & Herzegovina' 'Bosnia-Herzegovina' 'Bosnia and Herzegovina'
 'bosnia herzegovina' 'bosnia and herzegovina' 'bosnia & herzegovina']",joão-pedro-silva-pinheiro-pt,UEFA,pt,POR,25.0,joao-pedro-silva-pinheiro,https://footymetrics.com/referees/25-joao-pedro-silva-pinheiro,0.0,9572688.374092992
27,760440,400021450,151615,10.0,2026-06-18 22:00:00+00:00,2026-06-18 16:00:00-06:00,2026-06-18,18:00,group_b,group-stage,CAN,QAT,43899,43834,4-4-2,4-3-3,bcplace,400248370,BC Place,"BC Place, Vancouver",finished,6,0,52497,416177,CHI,Cristián Marcelo Garay Reyes,STATUS_FULL_TIME,,54500,retractable,grass_overlay,2026-06-18,15.0,20.2,19.7,56.0,CONCACAF,B,1.0,31.0,230.0,True,206,5810.0,3510.0,['Canada'],AFC,B,4.0,35.0,60.0,False,4398,5902.0,14162.0,['Qatar'],,,,,,,,20462735.36266301,20336985.524423033
28,760441,400021442,151609,4.0,2026-06-19 01:00:00+00:00,2026-06-18 19:00:00-06:00,2026-06-18,21:00,group_a,group-stage,MEX,KOR,43911,43822,4-1-2-3,3-4-3,akron,400252150,Estadio Akron,"Estadio Akron, Zapopan",finished,1,0,45522,408669,URU,Gustavo Tejera,STATUS_FULL_TIME,,49850,open,grass,2026-06-18,19.0,20.9,22.0,80.0,CONCACAF,A,1.0,14.0,240.0,True,203,6710.0,6303.0,['Mexico'],AFC,A,2.0,23.0,250.0,False,451,7804.0,3589.0,"['South Korea' 'south korea' 'korea republic' 'republic of korea'
 'korea south']",gustavo-tejera-uy,CONMEBOL,uy,URU,5424.0,gustavo-tejera,https://footymetrics.com/referees/5424-gustavo-tejera,27812230.6357736,16365853.608529005
29,760442,400021462,151627,21.0,2026-06-19 19:00:00+00:00,2026-06-19 13:00:00-06:00,2026-06-19,15:00,group_d,group-stage,USA,AUS,43921,43976,3-5-2,5-4-1,lumen,400216606,Lumen Field,"Lumen Field, Seattle",finished,2,0,66925,348147,GER,Felix Zwayer,STATUS_FULL_TIME,,68740,open,grass_overlay,2026-06-19,12.0,23.1,23.0,45.0,CONCACAF,D,1.0,16.0,320.0,True,660,6713.0,3505.0,['United States' 'USA' 'united states' 'usa' 'united states of america'],AFC,D,3.0,24.0,90.0,False,628,6716.0,3433.0,['Australia'],felix-zwayer-de,UEFA,de,GER,678.0,felix-zwayer,https://footymetrics.com/referees/678-felix-zwayer,21916436.52003016,14477559.780255945
30,760445,400021454,151621,15.0,2026-06-19 22:00:00+00:00,2026-06-19 16:00:00-06:00,2026-06-19,18:00,group_c,group-stage,SCO,MAR,43967,43872,4-4-2,4-2-3-1,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",finished,0,1,64146,360687,UZB,Ilgiz Tantashev,STATUS_FULL_TIME,,65878,open,grass_overlay,2026-06-19,18.0,24.2,21.8,45.0,UEFA,C,3.0,44.0,200.0,False,580,8498.0,3380.0,['Scotland'],CAF,C,2.0,12.0,360.0,False,2869,6262.0,3575.0,['Morocco'],ilgiz-tantashev-uz,AFC,uz,UZB,8634.0,ilgiz-tantashev,https://footymetrics.com/referees/8634-ilgiz-tantashev,21588116.501496114,9251895.304343991
31,760444,400021457,151622,16.0,2026-06-20 00:30:00+00:00,2026-06-19 18:30:00-06:00,2026-06-19,21:00,group_c,group-stage,BRA,HAI,43924,43908,4-3-3,5-4-1,lincoln,400248622,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia",finished,3,0,68324,373845,ESP,Alejandro José Hernández Hernández,STATUS_FULL_TIME,,69879,open,grass,2026-06-19,20.0,26.7,23.9,31.0,CONMEBOL,C,1.0,5.0,1050.0,False,205,8256.0,3439.0,['Brazil'],CONCACAF,C,4.0,82.0,20.0,False,2654,5934.0,14161.0,['Haiti'],alejandro-josé-hernández-hernández-es,UEFA,es,ESP,127.0,alejandro-jose-hernandez-hernandez,https://footymetrics.com/referees/127-alejandro-jose-hernandez-hernandez,15224102.348375946,22997674.60813101
32,760443,400021460,151628,22.0,2026-06-20 03:00:00+00:00,2026-06-19 21:00:00-06:00,2026-06-19,00:00,group_d,group-stage,TUR,PAR,43972,43928,4-2-3-1,4-2-3-1,levis,400257521,Levi's Stadium,"Levi's Stadium, Santa Clara",finished,0,1,68827,408378,SLV,Ivan Arcides Barton Cisneros,STATUS_FULL_TIME,,68500,open,grass,2026-06-19,20.0,20.5,19.3,58.0,UEFA,D,2.0,28.0,420.0,False,465,6595.0,3381.0,['Türkiye' 'Turkiye' 'turkiye' 'türkiye' 'turkey'],CONMEBOL,D,4.0,56.0,90.0,False,210,6724.0,3581.0,['Paraguay'],,,,,,,,32637786.58468945,7396051.298193994
33,760447,400021472,151640,33.0,2026-06-20 17:00:00+00:00,2026-06-20 11:00:00-06:00,2026-06-20,13:00,group_f,group-stage,NED,SWE,43960,43970,4-3-3,3-5-2,nrg,400249385,NRG Stadium,"NRG Stadium, Houston",finished,5,1,68777,347710,ENG,Michael Oliver,STATUS_FULL_TIME,,72220,retractable,grass_overlay,2026-06-20,12.0,27.7,32.6,82.0,UEFA,F,1.0,7.0,980.0,False,449,6708.0,3379.0,['Netherlands'],UEFA,F,4.0,20.0,350.0,False,466,8520.0,3557.0,['Sweden'],michael-oliver-gb,UEFA,gb,ENG,13.0,michael-oliver,https://footymetrics.com/referees/13-michael-oliver,22367686.54266512,14413787.354683002
34,760448,400021469,151634,27.0,2026-06-20 20:00:00+00:00,2026-06-20 14:00:00-06:00,2026-06-20,16:00,group_e,group-stage,GER,CIV,43948,43854,4-2-3-1,4-1-2-3,bmo,400242032,BMO Field,"BMO Field, Toronto",finished,2,1,43036,416159,PAR,Juan Gabriel Benítez,STATUS_FULL_TIME,,45500,open,grass_overlay,2026-06-20,16.0,23.0,22.3,38.0,UEFA,E,1.0,9.0,1000.0,False,481,8570.0,3262.0,['Germany'],CAF,E,3.0,40.0,300.0,False,4789,6709.0,3591.0,"['Ivory Coast' 'cote d ivoire' ""côte d'ivoire"" 'ivory coast']",juan-gabriel-benítez-py,CONMEBOL,py,PAR,5400.0,juan-gabriel-benitez,https://footymetrics.com/referees/5400-juan-gabriel-benitez,42519372.43554526,13795938.961766997
35,760446,400021465,151633,28.0,2026-06-21 00:00:00+00:00,2026-06-20 18:00:00-06:00,2026-06-20,20:00,group_e,group-stage,ECU,CUW,43927,1895293,3-5-2,5-3-2,arrowhead,400254717,GEHA Field at Arrowhead Stadium,"Arrowhead Stadium, Kansas City",finished,0,0,68598,328495,CHN,Ning Ma,STATUS_FULL_TIME,,76416,open,grass,2026-06-20,19.0,26.5,27.9,61.0,CONMEBOL,E,2.0,22.0,280.0,False,209,6707.0,5750.0,['Ecuador'],CONCACAF,E,4.0,88.0,15.0,False,11678,287981.0,32364.0,['Curaçao' 'Curacao'],ning-ma-cn,AFC,cn,CHN,33368.0,ning-ma,https://footymetrics.com/referees/33368-ning-ma,18216287.616692066,11206406.621713007
36,760449,400021475,151639,34.0,2026-06-21 04:00:00+00:00,2026-06-20 22:00:00-06:00,2026-06-21,00:00,group_f,group-stage,TUN,JPN,43888,43819,5-3-2,3-4-3,bbva,400238450,Estadio BBVA,"Estadio BBVA, Monterrey",finished,0,4,51243,314605,ROU,Istvan Kovacs,STATUS_FULL_TIME,,53500,open,grass,2026-06-20,22.0,23.3,28.0,96.0,CAF,F,3.0,49.0,70.0,False,659,6719.0,3670.0,['Tunisia'],AFC,F,2.0,17.0,320.0,False,627,6715.0,3435.0,['Japan'],istvan-kovacs-ro,UEFA,ro,ROU,682.0,istvan-kovacs,https://footymetrics.com/referees/682-istvan-kovacs,22166891.279387165,16068295.886170972
37,760453,400021483,151651,45.0,2026-06-21 16:00:00+00:00,2026-06-21 10:00:00-06:00,2026-06-21,12:00,group_h,group-stage,ESP,KSA,43969,43835,4-1-2-3,5-4-1,mercedes,400098290,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta",finished,4,0,68239,383222,BRA,Raphael Claus,STATUS_FULL_TIME,,71000,retractable,grass_overlay,2026-06-21,12.0,26.8,30.3,66.0,UEFA,H,1.0,3.0,1100.0,False,164,6720.0,3375.0,['Spain'],AFC,H,3.0,59.0,35.0,False,655,7795.0,3807.0,['Saudi Arabia' 'saudi arabia'],raphael-claus-br,CONMEBOL,br,BRA,4836.0,raphael-claus,https://footymetrics.com/referees/4836-raphael-claus,14380119.569741039,23567265.947540928
38,760451,400021477,151646,39.0,2026-06-21 19:00:00+00:00,2026-06-21 13:00:00-06:00,2026-06-21,15:00,group_g,group-stage,BEL,IRN,43935,43817,4-2-3-1,5-2-3,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",finished,0,0,70317,383174,ARG,Darío Herrera,STATUS_FULL_TIME,,70240,fixed,grass,2026-06-21,12.0,22.5,23.6,56.0,UEFA,G,1.0,8.0,720.0,False,459,8263.0,3382.0,['Belgium'],AFC,G,3.0,20.0,110.0,False,469,6711.0,3582.0,['Iran'],darío-herrera-ar,CONMEBOL,ar,ARG,4810.0,dario-herrera,https://footymetrics.com/referees/4810-dario-herrera,27016664.38964104,21213045.888119012
39,760450,400021487,151652,46.0,2026-06-21 22:00:00+00:00,2026-06-21 16:00:00-06:00,2026-06-21,18:00,group_h,group-stage,URU,CPV,43930,43850,4-1-2-3,4-1-2-3,hardrock,400257525,Hard Rock Stadium,"Hard Rock Stadium, Miami Gardens",finished,2,2,64003,400227,NOR,Espen Eskås,STATUS_FULL_TIME,,65326,open,grass,2026-06-21,18.0,31.4,35.3,58.0,CONMEBOL,H,2.0,15.0,470.0,False,212,5796.0,3449.0,['Uruguay'],CAF,H,4.0,70.0,40.0,False,2597,5888.0,4311.0,['Cape Verde' 'cape verde' 'cape verde islands' 'cabo verde'],espen-eskås-no,UEFA,no,NOR,140.0,espen-eskas,https://footymetrics.com/referees/140-espen-eskas,23415028.615583166,15784914.736105973
40,760452,400021480,151645,40.0,2026-06-22 01:00:00+00:00,2026-06-21 19:00:00-06:00,2026-06-21,21:00,group_g,group-stage,NZL,EGY,43978,43855,4-4-2,4-2-3-1,bcplace,400248370,BC Place,"BC Place, Vancouver",finished,1,3,52497,383421,UAE,Omar Mohamed Al Ali,STATUS_FULL_TIME,,54500,retractable,grass_overlay,2026-06-21,18.0,22.0,20.2,41.0,OFC,G,4.0,86.0,45.0,False,2666,5820.0,9171.0,['New Zealand'],CAF,G,2.0,33.0,180.0,False,2620,10255.0,3672.0,['Egypt'],omar-mohamed-al-ali-ae,AFC,ae,UAE,33350.0,omar-mohamed-al-ali,https://footymetrics.com/referees/33350-omar-mohamed-al-ali,25520309.2234752,15890165.849153988
41,760456,400021494,151664,57.0,2026-06-22 17:00:00+00:00,2026-06-22 11:00:00-06:00,2026-06-22,13:00,group_j,group-stage,ARG,AUT,43922,43934,,,att,400257526,AT&T Stadium,"AT&T Stadium, Arlington",scheduled,0,0,,392013,EGY,Amin Mohamed Omar,STATUS_SCHEDULED,,80000,retractable,grass_overlay,2026-06-22,12.0,29.6,35.9,78.0,CONMEBOL,J,1.0,1.0,620.0,False,202,6706.0,3437.0,['Argentina'],UEFA,J,3.0,25.0,310.0,False,474,8255.0,3383.0,['Austria'],amin-mohamed-omar-eg,CAF,eg,EGY,33272.0,amin-mohamed-omar,https://footymetrics.com/referees/33272-amin-mohamed-omar,2785136.8351990315,1094123.1466919996
42,760457,400021492,151657,51.0,2026-06-22 21:00:00+00:00,2026-06-22 15:00:00-06:00,2026-06-22,17:00,group_i,group-stage,FRA,IRQ,43946,43818,,,lincoln,400248622,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia",scheduled,0,0,,372930,CAN,Drew Fischer,STATUS_SCHEDULED,,69879,open,grass,2026-06-22,17.0,32.0,31.6,42.0,UEFA,I,1.0,2.0,1180.0,False,478,6723.0,3377.0,['France'],AFC,I,4.0,57.0,30.0,False,4375,5819.0,3560.0,['Iraq'],drew-fischer-ca,CONCACAF,ca,CAN,6349.0,drew-fischer,https://footymetrics.com/referees/6349-drew-fischer,1239798.7105449939,1078501.9855789992
43,760454,400021491,151658,52.0,2026-06-23 00:00:00+00:00,2026-06-22 18:00:00-06:00,2026-06-22,20:00,group_i,group-stage,NOR,SEN,43961,43879,,,metlife,400257536,MetLife Stadium,"MetLife Stadium, East Rutherford",scheduled,0,0,,361561,BRA,Wilton SAMPAIO,STATUS_SCHEDULED,,82500,open,grass_overlay,2026-06-22,20.0,21.1,23.5,92.0,UEFA,I,3.0,38.0,350.0,False,464,8492.0,3440.0,['Norway'],CAF,I,2.0,18.0,320.0,False,654,6395.0,3499.0,['Senegal'],wilton-pereira-sampaio-br,CONMEBOL,br,BRA,5137.0,wilton-pereira-sampaio,https://footymetrics.com/referees/5137-wilton-pereira-sampaio,1401686.082984997,300254.6254490001
44,760455,400021499,151663,58.0,2026-06-23 03:00:00+00:00,2026-06-22 21:00:00-06:00,2026-06-22,23:00,group_j,group-stage,JOR,ALG,43820,43843,,,levis,400257521,Levi's Stadium,"Levi's Stadium, Santa Clara",scheduled,0,0,,315008,SVN,Slavko VINCIC,STATUS_SCHEDULED,,68500,open,grass,2026-06-22,20.0,16.6,15.3,78.0,AFC,J,4.0,64.0,30.0,False,2917,5816.0,15737.0,['Jordan'],CAF,J,2.0,36.0,230.0,False,624,6317.0,3614.0,['Algeria'],slavko-vinčić-si,UEFA,si,SVN,681.0,slavko-vincic,https://footymetrics.com/referees/681-slavko-vincic,361766.48057300143,116370.81719399997
45,760461,400021503,151670,63.0,2026-06-23 17:00:00+00:00,2026-06-23 11:00:00-06:00,2026-06-23,13:00,group_k,group-stage,POR,UZB,43963,44005,,,nrg,400249385,NRG Stadium,"NRG Stadium, Houston",scheduled,0,0,,416524,MAR,Jalal Jayed,STATUS_SCHEDULED,,72220,retractable,grass_overlay,2026-06-23,12.0,32.6,37.5,53.0,UEFA,K,1.0,6.0,980.0,False,482,8361.0,3300.0,['Portugal'],AFC,K,4.0,57.0,55.0,False,2570,8700.0,3563.0,['Uzbekistan'],jalal-jayed-ma,CAF,ma,MAR,1589830.0,jalal-jayed,https://footymetrics.com/referees/1589830-jalal-jayed,281502.6052920002,636475.9611389999
46,760458,400021506,151676,69.0,2026-06-23 20:00:00+00:00,2026-06-23 14:00:00-06:00,2026-06-23,16:00,group_l,group-stage,ENG,GHA,43942,43860,,,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",scheduled,0,0,,400191,HON,Said MARTINEZ,STATUS_SCHEDULED,,65878,open,grass_overlay,2026-06-23,16.0,17.6,18.2,94.0,UEFA,L,1.0,4.0,1300.0,False,448,8491.0,3299.0,['England'],CAF,L,3.0,73.0,150.0,False,4469,6714.0,3441.0,['Ghana'],said-martinez-xx,,,,4634531.0,said-martinez,https://footymetrics.com/referees/4634531-said-martinez,673504.045242005,143501.495876
47,760460,400021511,151675,70.0,2026-06-23 23:00:00+00:00,2026-06-23 17:00:00-06:00,2026-06-23,19:00,group_l,group-stage,PAN,CRO,43914,43938,,,bmo,400242032,BMO Field,"BMO Field, Toronto",scheduled,0,0,,408417,GAB,Pierre Ghislain Atcho,STATUS_SCHEDULED,,45500,open,grass_overlay,2026-06-23,19.0,20.8,20.3,62.0,CONCACAF,L,4.0,41.0,35.0,False,2659,5922.0,3577.0,['Panama'],UEFA,L,2.0,10.0,380.0,False,477,10155.0,3556.0,['Croatia'],pierre-ghislain-atcho-ga,CAF,ga,GAB,1585826.0,pierre-ghislain-atcho,https://footymetrics.com/referees/1585826-pierre-ghislain-atcho,157621.17953300034,34724.398502000004
48,760459,400021501,151669,64.0,2026-06-24 02:00:00+00:00,2026-06-23 20:00:00-06:00,2026-06-23,22:00,group_k,group-stage,COL,COD,43926,20014,,,akron,400252150,Estadio Akron,"Estadio Akron, Zapopan",scheduled,0,0,,415965,ITA,Maurizio Mariani,STATUS_SCHEDULED,,49850,open,grass,2026-06-23,20.0,18.9,20.8,90.0,CONMEBOL,K,2.0,13.0,400.0,False,208,8258.0,3816.0,['Colombia'],CAF,K,3.0,52.0,120.0,False,2850,6321.0,3854.0,"['DR Congo' 'Congo DR' 'dr congo' 'congo dr'
 'democratic republic of congo' 'congo democratic republic']",maurizio-mariani-it,UEFA,it,ITA,134.0,maurizio-mariani,https://footymetrics.com/referees/134-maurizio-mariani,107485.83463000008,40575.581241
49,760462,400021448,151618,12.0,2026-06-24 19:00:00+00:00,2026-06-24 13:00:00-06:00,2026-06-24,15:00,group_b,group-stage,BIH,QAT,44037,43834,,,lumen,400216606,Lumen Field,"Lumen Field, Seattle",scheduled,0,0,,360305,VEN,Jesús Valenzuela Sáez,STATUS_SCHEDULED,,68740,open,grass_overlay,2026-06-24,12.0,23.6,23.3,42.0,UEFA,B,3.0,55.0,130.0,False,452,10106.0,3446.0,"['Bosnia & Herzegovina' 'Bosnia-Herzegovina' 'Bosnia and Herzegovina'
 'bosnia herzegovina' 'bosnia and herzegovina' 'bosnia & herzegovina']",AFC,B,4.0,35.0,60.0,False,4398,5902.0,14162.0,['Qatar'],jesús-valenzuela-sáez-ve,CONMEBOL,ve,VEN,5419.0,jesus-valenzuela-saez,https://footymetrics.com/referees/5419-jesus-valenzuela-saez,118286.12689700017,85429.48386000007
50,760463,400021451,151617,11.0,2026-06-24 19:00:00+00:00,2026-06-24 13:00:00-06:00,2026-06-24,15:00,group_b,group-stage,SUI,CAN,43971,43899,,,bcplace,400248370,BC Place,"BC Place, Vancouver",scheduled,0,0,,446932,BRA,Ramon ABATTI,STATUS_SCHEDULED,,54500,retractable,grass_overlay,2026-06-24,12.0,20.5,19.2,54.0,UEFA,B,2.0,19.0,270.0,False,475,6717.0,3384.0,['Switzerland'],CONCACAF,B,1.0,31.0,230.0,True,206,5810.0,3510.0,['Canada'],ramon-abatti-br,CONMEBOL,br,BRA,5671.0,ramon-abatti,https://footymetrics.com/referees/5671-ramon-abatti,135688.16337099994,35664.569198
51,760465,400021455,151624,18.0,2026-06-24 22:00:00+00:00,2026-06-24 16:00:00-06:00,2026-06-24,18:00,group_c,group-stage,SCO,BRA,43967,43924,,,hardrock,400257525,Hard Rock Stadium,"Hard Rock Stadium, Miami Gardens",scheduled,0,0,,374810,MEX,César Arturo Ramos Palazuelos,STATUS_SCHEDULED,,65326,open,grass,2026-06-24,18.0,32.7,34.2,51.0,UEFA,C,3.0,44.0,200.0,False,580,8498.0,3380.0,['Scotland'],CONMEBOL,C,1.0,5.0,1050.0,False,205,8256.0,3439.0,['Brazil'],césar-arturo-ramos-palazuelos-mx,CONCACAF,mx,MEX,5594.0,cesar-arturo-ramos-palazuelos,https://footymetrics.com/referees/5594-cesar-arturo-ramos-palazuelos,269381.8586039994,50856.387061
52,760464,400021452,151623,17.0,2026-06-24 22:00:00+00:00,2026-06-24 16:00:00-06:00,2026-06-24,18:00,group_c,group-stage,MAR,HAI,43872,43908,,,mercedes,400098290,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta",scheduled,0,0,,327159,NED,Danny Desmond Makkelie,STATUS_SCHEDULED,,71000,retractable,grass_overlay,2026-06-24,18.0,32.6,31.5,27.0,CAF,C,2.0,12.0,360.0,False,2869,6262.0,3575.0,['Morocco'],CONCACAF,C,4.0,82.0,20.0,False,2654,5934.0,14161.0,['Haiti'],danny-desmond-makkelie-cw,UEFA,cw,CUW,59.0,danny-desmond-makkelie,https://footymetrics.com/referees/59-danny-desmond-makkelie,181207.51824700017,66561.51329100002
